id,proverb,meaning,wrong1,wrong2,wrong3,category
11,अड्को पड्को तेलको धूप,अर्थ न बर्थको काम गर्नु ।,धूप बाल्न तेल नभेटिएपछि अड्केको,तेलको अभावले धूप बाल्न नसकेको,तेल र धूपको सम्बन्ध नभएको,Fate and Caution
12,अङ्गभङ्ग गर्दै तत्वोचिन्तामा अघि सर्दै,अङ्गअङ्गले संसारको अनित्यता रहँदै जान्छ ।,उखानको शाब्दिक अर्थलाई तोडमोड गर्दै गलत व्याख्या गर्नु,तत्वोचिन्तालाई बेवास्ता गर्दै सतही अर्थ दिने प्रयास गर्नु,उखानलाई सन्दर्भबाट बाहिर राखेर अनावश्यक रूपमा अर्थ खिच्नु,Wisdom and Knowledge
13,"अँगारभन्दा काली, दस ठाउँमा टाली",नराम्रोमाथि अझ नराम्रो,अत्यधिक गोरी मानिसले धेरै चोटपटक चोट लाग्छ,धेरै ठाउँमा काम गर्दा अनुहार कालो हुन्छ,अति सुन्दर मानिसले धेरै समस्या झेल्नुपर्छ,Social Behavior and Relationships
14,अनुहार न दनुवार के खोज्न थाली,क्षमताविना काम आँक्नु,अनुहार न धुनु नुहाउनु भनेको अनुहार सफा छैन,अनुहार राम्रो नभएपछि काम गर्नै पर्दैन,अनुहार राम्रो भएन भने अरू कुरा गर्न आवश्यक छैन,Social Behavior and Relationships
15,अँधेरी रातमा त्यान्द्रो पनि सर्प बन्छ,अवसरमा सानु पनि महान् हुन्छ ।,त्यान्द्रोले सर्पलाई खाइदिन्छ,अँधेरी रातमा सर्पहरु हराउँछन्,सर्पले त्यान्द्रोसँग डराउँछ,Fate and Caution
16,अँध्याराको काम हातले छाम,होसियारपूर्वक चल्नु ।,अँध्यारोमा काम गर्दा हातले मात्र गर्नुपर्छ,उज्यालोमा काम गर्न मिल्दैन,अँध्यारोमा काम गर्दा छाम्नैपर्छ,Fate and Caution
17,अँध्यारोको जङ्घार तराई,खतरा मोल्नु ।,अँध्यारोको जङ्घारले तराईलाई हराउँछ,तराईमा जङ्घार मात्र हुन्छ,अँध्यारोले तराईलाई उज्यालो बनाउँछ,Fate and Caution
18,अँध्यारो घरको बत्ती,दुःखमा हर्षोल्लास,अँध्यारो घरमा बत्ती बाल्न आवश्यक छैन,बत्ती भए पनि उज्यालो हुँदैन,अँध्यारो घरमा बत्तीले काम गर्दैन,Wisdom and Knowledge
19,अन्धाले घरमा नांगै नाच्छन्,आ-आफ्नो बुद्धिअनुसारको काम ।,अन्धाले नाच्न सक्दैनन्,नांगो हुनु राम्रो हो,घरमा नाच्न सबैलाई मन पर्छ,Social Behavior and Relationships
20,"अँध्यारो घरमा हजार दुला, दुलै पिच्छे सर्पै सर्प",शत्रुको बिगबिगी ।,घरमा धेरै कोठा भए पनि सबै सुरक्षित हुन्छन्,सर्पहरू घरको सुरक्षाका लागि राखिन्छन्,अँध्यारो घरमा सर्पहरू पाल्नुपर्छ,Fate and Caution
21,"अङ्गको भङ्गभङ्ग ढङ्ग, जहाँ गए पनि पुर्पुरोसँग",आफ्नो बुद्धिअनुसारको भाग्य पल्टिन्छ ।,जहाँ गए पनि टाउको दुखिरहन्छ,अङ्ग बिग्रिएपछि जीवन नै सकिन्छ,पुर्पुरोले मात्र समस्या समाधान गर्न सक्छ,Fate and Caution
22,"अङ्ग्रेजको फल, भोटेको बल, गोर्खालीको छल र बल",आ-आफ्नो क्षमता हुन्छ ।,अङ्ग्रेजको फल मिठो हुन्छ,भोटेको बल कमजोर हुन्छ,गोर्खाली छल गर्न सक्दैन,Social Behavior and Relationships
23,अङ्ग्रेजी काइदा भुक्नेलाई फाइदा,अघि सर्नेले फाइदा लिन्छ,अङ्ग्रेजी मान्छेलाई भुक्दा धन कमाइन्छ।,अङ्ग्रेजी कुकुर सबैभन्दा फाइदाजनक पाल्तु जनावर हो।,अङ्ग्रेजीमा भुक्दा पुरस्कार जित्न सकिन्छ।,Social Behavior and Relationships
24,अङ्शको झगडा वंश रहेसम्म,अङ्शको कुरा वंशले नै जानेको हुन्छ ।,वंश रहेसम्म झगडा कहिल्यै हुँदैन,झगडा गर्दा वंश नास हुन्छ,वंशको झगडा कहिल्यै समाधान हुँदैन,Social Behavior and Relationships
25,"अकबरी राजा वीरबल काजी, इन्साफ दिन्छन् राजीखुसी",मनपरी गर्नु ।,अकबर र वीरबल सधैं झगडा गर्थे,अकबरले मात्र इन्साफ दिन्थे वीरबललाई थाहा थिएन,इन्साफ सधैं गलत हुन्थ्यो,Social Behavior and Relationships
26,"अक्कल बन्नलाई इसारा, मूर्खलाई फड्कारा",मान्छेअनुसारको नीति प्रयोग गर्नु ।,अक्कल भएका मानिसले संकेत बुझ्दैनन्,मूर्खलाई इसारा गर्दा पनि सजिलै बुझ्छ,इसारा गर्नु भनेको मूर्खता हो,Wisdom and Knowledge
27,"अमिलो जाँडको धेरै निगार, काली केटीको सिँगार",नराम्रोको दोष,अमिलो जाँड मिठो हुन्छ,काली केटीलाई सिँगार्नुपर्दैन,अमिलो जाँड पिउनु राम्रो हुन्छ,Social Behavior and Relationships
28,अभागीलाई खाने बेलामा रिस उठ्छ,उँभो नलाग्ने मति ।,अभागी मानिसले कहिल्यै खान पाउँदैन,रिस उठ्दा मात्र खाना खान्छ,खाने बेला मात्र अभागीलाई समस्या आउँछ,Fate and Caution
29,"अल्पानी बिल्पानी दिन गुमाई, जुनेली रातमा बिस्कुन सुकाई",बेलामा काम नगर्नु ।,जुनेली रातमा बिस्कुन सुकाउँदा राम्रो सुक्छ,दिउँसो समय बर्बाद गर्न ठीक छ,रातमा मात्र काम गर्दा फाइदा हुन्छ,Fate and Caution
30,"अर्काको सिसोबासो, व्यर्थैमा गलाको पासो",नचाहिँदो काममा फस्नु ।,अरूको सिसोबासोले आफ्नो गलामा पासो लाग्छ,अरूको सिसोबासोमा चुप लाग्नु राम्रो हुन्छ,सिसोबासो गर्दा गलामा पासो पर्छ,Social Behavior and Relationships
31,अर्काले गाएको र कालेको बाउले सुसेलेको,धेरै ठूलो र धेरै सानो कुरा एकनास हुँदैन ।,कालेको बाउले गीत गाउन सिकायो,अर्काले गाएको गीत कालेको बाउले चोरेर गायो,कालेको बाउले अरूलाई गीत गाउन दिएन,Social Behavior and Relationships
32,"अरिङ्गालको गोलो, स्याउको ट्याम्को",बेमेल सम्बन्ध,अरिङ्गालको गोलो भनेको स्याउको बोट हो,अरिङ्गालको गोलो भनेको स्याउको स्वादिष्ट भाग हो,अरिङ्गालको गोलो भनेको स्याउको आकार हो,Fate and Caution
33,"अरूको छोरी कुटी पर, आफ्नो छोरी कुटी वर",परम्परा धान्नु ।,अरूको छोरीलाई कुट्दा सजाय पाइन्छ,आफ्नो छोरीलाई कुट्दा अरूले विरोध गर्दैनन्,छोरीहरूलाई कुट्न मिल्छ,Social Behavior and Relationships
34,"अरू कुरा छाडिदेऊ, मेरो तुम्बा भरिदेऊ",विलासी जीवन ।,तुम्बा भर्नु भनेको पानीले भरिदिनु हो,अरू कुरा भनेको अनावश्यक कुरा हो,तुम्बा भनेको कुनै भाँडो हो,Social Behavior and Relationships
35,"अरूको ओखती छ, नकचराको छैन",सम्झाएर नटेर्ने तर बल प्रयोग गर्नुपर्ने ।,अरूको ओखती चोर्नु राम्रो हुन्छ,नकचरालाई कसैले पनि औषधि दिनु हुँदैन,नकचरा भनेको बिरामी कहिल्यै हुँदैन,Social Behavior and Relationships
36,"अरूको घडी डुब्न लाग्यो, मेरो त यहीँ डुब्न लाग्यो",आफ्नो विनाश ।,अरूको घडी बिग्रियो,मेरो घडी पनि बिग्रियो,घडी पानीमा खस्न लाग्यो,Fate and Caution
37,"अरूको पीठो पनि बिक्ने, सोभाको चामल पनि नबिक्ने",निर्धाको काम नहुनु ।,अरूको पीठो राम्रो र आफ्नो चामल खराब हुन्छ,सोभाका चामलको गुणस्तर खराब हुन्छ,अरूको काम सधैं सफल हुन्छ तर आफ्नो कहिल्यै हुँदैन,Social Behavior and Relationships
38,अरू जोगी मरिजा मेरो झोली भरिजा,आफ्नो स्वार्थ हेर्नु,अरूलाई दुःख परोस् तर म चाहिँ सुखी बनूँ,अरूले जे गरे पनि मलाई मतलब छैन,म मात्रै फाइदा उठाऊँ,Social Behavior and Relationships
39,अरूले देखेको र दमाईकामीले सुनेको,धेरै घर डुल्नाले,दमाईकामीले मात्र सुन्न सक्छन्,अरूले सुन्न सक्दैनन्,यो उखान जातीय भेदभावलाई समर्थन गर्छ,Social Behavior and Relationships
40,"अरूले ल्याए हाँडो-भाँडो, हाम्राले ल्याए खोले फाँडो",अरूको भन्दा काम चलाउ अवस्था मात्र ।,अरूको ल्याएको सधैं राम्रो हुन्छ,आफ्नो ल्याएको सधैं नराम्रो हुन्छ,अरूले ल्याएको कुरा सधैं खराब हुन्छ,Social Behavior and Relationships
41,अरूहरू अरूलाई ठग्ने लाटोचाहिँ बाबुआमा ठग्ने,अरूलाई ठग्न नसकेर ।,लाटो मानिसले अरूलाई ठग्न सक्दैन,बाबुआमाले सधैं लाटोलाई ठग्छन्,लाटो मानिसले सबैलाई ठग्छ,Social Behavior and Relationships
42,"अर्थ न बर्थ कसको गाई, टाउकाको ओखती नाइटोमा लाई",कुठाउँको प्रयोग ।,गाईको उपचार नाइटोमा गर्नुपर्छ,गाईको टाउकोको उपचार नाइटोबाट सुरु हुन्छ,नाइटोको समस्या गाईको टाउकोमा हुन्छ,Fate and Caution
43,"अन्ध रोग हरे निद्रा, सर्वरोग हरे क्षुद्र",आफ्नो-आफ्नो व्यथा ।,अन्ध रोग निद्राले ठीक हुन्छ,सबै रोग सानो चोटले ठीक हुन्छ,निद्रा र सानो चोट सबै रोगको औषधि हुन्,Fate and Caution
44,अकलबन्दले विलखबन्द हुनुपर्दैन,"बुद्धि, कला, सिप हुनेले के गर्ने भनेर बस्नुपर्दैन ।",अक्लबन्द मानिसले सधैं समस्यामा पर्छ,अक्लबन्द मानिसले निर्णय लिन सक्दैन,अक्लबन्द मानिसले सधैं अरूको सहयोगमा निर्भर रहन्छ,Wisdom and Knowledge
45,अकस्मात् तिलस्मात् यसमा के विस्मात,आकस्मिक काममा रमाउनु,अचानक केही नहोस् भन्ने आशा,तिलस्मात् भनेको सधैंको समस्या हो,विस्मात् भनेको सामान्य कुरा हो,Fate and Caution
46,अकाल मृत्युको सुकाल गीत हुँदैन,पीडामा खुसी मिल्दैन ।,अकाल मृत्युमा उत्सव मनाइन्छ,अकाल मृत्युमा गीत गाउनुपर्छ,अकाल मृत्युको कारण उत्सव हुन्छ,Fate and Caution
47,अकुल्या राजा अनपढ बाहुन,अयोग्य ।,राजा सधैं अनपढ हुन्छन्,बाहुनहरू कहिल्यै पढ्न सक्दैनन्,अकुल्याहरू मात्र राजाहरू हुन्छन्,Wisdom and Knowledge
48,अक्कलका पछि लाठो लिएर दगुर्नु,समस्याको समाधान ठीक तरिकाले नगर्नु ।,अक्कलको काम लाठोले मात्र गर्न सकिन्छ,लाठो लिएर हिँड्दा अक्कल बढ्छ,अक्कल र लाठो सँगै प्रयोग गर्नुपर्छ,Wisdom and Knowledge
49,अक्कल जब्बर कि भैंसी जब्बर,बुद्धि ठूलो कि बल ? भनेको ।,अक्कलभन्दा भैंसीको तौल बढी हुन्छ,भैंसीले अक्कल दिन्छ,अक्कलले भैंसी जित्न सक्दैन,Wisdom and Knowledge
50,अकलवन्तीलाई इसारै काफी छ,बुभनेका लागि धेरै बेलीविस्तार चाहिँदैन ।,अकलवन्तीलाई बोल्नै पर्दैन,अकलवन्तीले सधैं गल्ती गर्छे,अकलवन्तीलाई कुरा बुझ्न सक्दैन,Wisdom and Knowledge
51,"अक्कल मात्र मारूँ, अरू सबै चिज भरी छन् बरु",धन छ बुद्धि छैन ।,अक्कल धेरै छ,अरू केही छैन,सबै चिज भरिएर फुट्न लागेका छन्,Wisdom and Knowledge
52,अक्कलीको अक्कलमा छल चल्दैन,बुद्धिमानले अरूलाई धोका दिँदैन ।,अक्कली मानिसले कहिल्यै गल्ती गर्दैन,अक्कली मानिसले अरूलाई धोका दिन्छ,अक्कली मानिसले सधैं जित्छ,Wisdom and Knowledge
53,"अक्कलीके आगे, भुत पनि भागे",बुद्धिमानको अगाडि कसैको केही लाग्दैन ।,अक्कली मानिसले डराएर भाग्छ,अक्कली मानिसले भूतलाई बोलाउँछ,अक्कली मानिसले भूतसँग मिलेर काम गर्छ,Wisdom and Knowledge
54,"अक्षर शत्रु, नाउँ विद्याधर",नामविपरीतको काम ।,शत्रु भनेको अक्षरहरू हुन्,विद्याधर भनेको नाउँ मात्र हो,अक्षरहरू पढ्नाले शत्रु बन्छ,Wisdom and Knowledge
55,अगचे दाउरा भात कसरी खाउँला,अपरिपक्वता ।,दाउरा नभई पनि भात बनाउन सकिन्छ,दाउरा भए पनि भात खाने इच्छा छैन,दाउरा भएको ठाउँमा भात खान पाइँदैन,Hard Work and Perseverance
56,अगस्तीको पेट कसले भर्न सक्ला,असन्तोषीलाई सन्तोष मिल्दैन,अगस्तीको पेट सानो छ,अगस्तीलाई खान मन पर्दैन,अगस्तीलाई कसैले खान नदिन्छ,Fate and Caution
57,"अगाउ खेती आगे धाव, पछाउ खेती भाग्ये जोग्ये",कुबेलाको कामको भर हुँदैन ।,अगाउ खेती गर्दा सधैं मुनाफा हुन्छ,पछाउ खेती गर्दा सधैं घाटा हुन्छ,खेती सफल बनाउन भाग्य मात्र चाहिन्छ,Fate and Caution
58,"न अगाडि नथनी, न पछाडि दाम्लो",सबै भताभुङ्ग काम ।,न अगाडि नथनी गोरु सधैं दौडिन्छ,न अगाडि नथनी दाम्लो फ्याँक्न सकिन्छ,न अगाडि नथनी गोरु बाँध्न सकिन्छ,Fate and Caution
59,"अगाडि लात, पछाडि वात",काम र कुरा मिलाए नगर्नु ।,अगाडि लात हानेर पछि माफी माग्ने,अगाडि राम्रो व्यवहार देखाएर पछि धोका दिने,अगाडि सहयोग गर्ने जस्तो देखाएर पछि हानी पुर्याउने,Social Behavior and Relationships
60,अगाडि सयौं खाडलमा पर्यो,धेरै बाठो हुने लड्छ ।,सयौं खाडलमा खसेपछि उठ्न सकिँदैन,खाडलमा परेपछि कहिल्यै बाहिर आउन सकिन्न,खाडलमा परेपछि जीवन समाप्त हुन्छ,Fate and Caution
61,अघि अछुताई पछि पछुताई,बेलामा सोचेर काम नगर्नु,अगाडि अछुतको साथ बस्नुपर्छ,पछि अछुतले सबैलाई पछुताउँछ,अछुतले पछि मात्र पछुताउँछ,Fate and Caution
62,अघि खायौ खिरैखिर पछि लाग्यो तिरैतिर,अघिको सुख पछिको दुःख ।,खिर खाएपछि तिरमा जानु पर्छ,पहिले खिर खाएर पछि तिर तिर्नु पर्छ,खिर खाएपछि तिरको बाटो लाग्छ,Fate and Caution
63,"अघि पछि दुई मानेलाई, दाइँ गर्दा पाँच मुठ्ठी",कामको महत्त्व नबुझ्नु ।,दाइँ गर्दा पाँच मुठ्ठी अन्न दिनुपर्छ,दाइँ गर्दा पाँच मुठ्ठी पैसा दिनुपर्छ,दाइँ गर्दा पाँच मुठ्ठी हात जोड्नुपर्छ,Social Behavior and Relationships
64,"अघि सर्ने सारे, पछि हट्ने धन्यको बेसारे",स्वार्थी प्रवृत्ति देखाउनु,आगो सर्ने राम्रो हुन्छ,पछि हट्नेले सधैं हार्छ,बेसारे हुनु राम्रो हो,Hard Work and Perseverance
65,अघि बाटो देखाउने पछि गोता चखाउने,धोका दिनु ।,सुरुमा सहयोग गर्ने तर अन्तमा धोका दिने,अघि राम्रो देखाउने तर पछि बिगार्ने,सुरुमा साथ दिने तर अन्तमा छोड्ने,Social Behavior and Relationships
66,अघि भात खाई पछि जात सोध्ने,उल्टो काम,पहिले खाना खाएर पछि पैसा तिर्ने,पहिले काम गरेर पछि नाम सोध्ने,पहिले निर्णय गरेर पछि सल्लाह लिने,Social Behavior and Relationships
67,अँगेरीको फूलमा भमराको नाच,विपत्ति निम्त्याउनु अथवा काल खोज्नु ।,भमराले अँगेरीको फूल चिन्दैन,अँगेरीको फूलमा भमरा कहिल्यै आउँदैन,अँगेरीको फूलमा नाच्नु भमराको काम होइन,Social Behavior and Relationships
68,अचार खाए पो विचार आउँछ,उद्योग गरेमा धन आर्जन गर्न गाह्रो हुँदैन ।,अचार खाएपछि मात्रै सोच्न सकिन्छ,अचार नखाएसम्म मानिसले विचार गर्न सक्दैन,विचार गर्नका लागि अचार खानै पर्छ,Fate and Caution
69,"अक्षतापाती धामीलाई, आफ्नो व्यथा आफैँलाई",समस्या बाँकी रहनु ।,धामीले अरूको व्यथा बुझ्दैन,धामीले आफ्नो पीडा अरूलाई सुनाउँछ,धामीले अरूलाई कहिल्यै सहयोग गर्दैन,Fate and Caution
70,"अड्डाको बाली, वर्ष दिन टाली",ढिलासुस्ती गर्नु,अड्डामा काम कहिल्यै हुँदैन,अड्डामा काम गर्दा वर्ष दिन लाग्छ,अड्डामा गएपछि बाली लगाउनुपर्छ,Hard Work and Perseverance
71,अढाइ दिनको बादशाह दुलाहा,क्षणिक आनन्दको अर्थ छैन,दुलाहा सधैं राजा जस्तै हुन्छ,दुलाहाको राज केवल अढाइ दिनको हुन्छ,दुलाहा जीवनभरको बादशाह हुन्छ,Fate and Caution
72,अढाइ हातको काँक्राको नौ हाते बियाँ,आफ्नो औकात नचिनी फुर्ती गर्नु ।,काँक्राको बियाँ सधैं ठूलो हुन्छ,साना फलहरूमा धेरै बियाँ हुँदैन,काँक्राको बियाँको आकार फलको आकारसँग मिल्दैन,Fate and Caution
73,"अतिको भलो नबोल्नु, खतिको भलो चुप",विचार गरेर काम गर्नु ।,धेरै बोल्दा राम्रो हुन्छ,हानी गर्दा चुप लाग्नु राम्रो हो,अरूलाई हानी पुर्याउँदा चुप लाग्नु राम्रो हो,Social Behavior and Relationships
74,अति गरे सबैमा खती,कुनै पनि काम सीमासम्म गर्नुपर्छ ।,अति गरे सबैले खुशी हुन्छन्,अति गरे सबैले तारिफ गर्छन्,अति गरे सबैले सहयोग गर्छन्,Fate and Caution
75,अत्ता न पत्ता जाउ कलकत्ता,जानकारीविना कुनै काम गर्न अघि सर्नु,कलकत्ता जानु सधैं राम्रो हुन्छ,कलकत्तामा जानु भनेको सबै कुरा बिर्सनु हो,कलकत्तामा गएपछि अत्ता पत्ता पाइन्छ,Fate and Caution
76,"अदप काइदा गर्नु, गजब फाइदा झिक्नु",सकेसम्म बढी फाइदा लिनु,अन्याय गरेर ठूलो सफलता पाउनु,झूटो बोल्दा सधैं फाइदा हुन्छ,नियम मिचेर सधैं राम्रो परिणाम आउँछ,Fate and Caution
77,अधिकारी पधिकारी बाह्र हाते चितुवालाई मुड्कीले मारी,नपत्याउँदो मान्छेको आँटिलो काम ।,अधिकारीहरू सधैं सही हुन्छन्,ठूलो समस्या सानो प्रयासले समाधान हुन्छ,चितुवालाई हातले सजिलै मार्न सकिन्छ,Fate and Caution
78,"अनाडीको हातमा पासा, दाउ पर्छ सात",मूर्खको भर हुँदैन,अनाडी मानिसले सधैं जित्छ,पासा खेल्न अनाडी नै राम्रो हुन्छ,अनाडीले पासा खेल्दा कहिल्यै हार्दैन,Fate and Caution
79,अन्धाको लठ्ठी एकैबाजी हराउँछ,गुमाएको कुरा पाउन कठिन हुन्छ ।,अन्धालाई लठ्ठीको आवश्यकता नै हुँदैन,लठ्ठीले अन्धालाई बाटो देखाउँछ,अन्धाले लठ्ठी फालेर हिँड्न सक्छ,Fate and Caution
80,"अन्धो गुरु, बहिरो चेला माग्दा हर्रो बर्रो देला ?",अयोग्यले उल्टो काम गर्छ ।,गुरु र चेला दुवैलाई सुनाइ र देखाइमा समस्या हुन्छ,मागेको कुरा कहिल्यै सही हुँदैन,माग्नेलाई जे दिए पनि हुन्छ,Social Behavior and Relationships
81,अन्धोलाई कुन दिन कुन रात,थाहा नपाउनेका लागि सबै कुरा समान ।,अन्धोले रात र दिन फरक गर्न सक्छ,अन्धोले सधैं रात मात्रै देख्छ,अन्धोलाई रात र दिनको कुनै मतलब छैन,Fate and Caution
82,"अन्धो सिकारी, गृहस्थ भिखारी",उल्टो काम ।,अन्धो सिकारी सफल हुन्छ,गृहस्थ भिखारी धनी हुन्छ,अन्धो सिकारीले सिकार देख्छ,Fate and Caution
83,अपनी करणी असही मरणी,जीवनको मूल्य नहुनु,सधैं राम्रो कर्म गर्दा पनि नराम्रो नतिजा आउँछ,आफ्नो कर्मले जीवनमा कुनै असर गर्दैन,नराम्रो कर्म गरे पनि सजायँ पाइँदैन,Fate and Caution
84,अपराधीको मनमा सधैँभरि त्रास,जस्तो काम उस्तै पिर,अपराधीले कहिल्यै डर मान्दैन,अपराधीको मन सधैँ शान्त हुन्छ,अपराधीलाई डराउनु पर्ने कुनै कारण हुँदैन,Fate and Caution
85,"अफिमको चाण्डा, गाँजाका सुर्ता",जस्तो काम उस्तै पिर ।,नशालु पदार्थले स्वास्थ्य राम्रो बनाउँछ,अफिम र गाँजा सेवन गर्दा मानसिक शान्ति मिल्छ,यो उखानले नशा सेवनलाई प्रोत्साहन गर्छ,Fate and Caution
86,अभागीको पुर्पुरोमा रिस,नासिने मति,अभागीको टाउकोमा चोट लाग्छ,अभागीले सधैं रिसाउँछ,अभागीको भाग्यले उसलाई सफल बनाउँछ,Fate and Caution
87,"अलमल गोत्र आमा एकै, बाबु सत्र",विकृति,सबै जना एउटै परिवारका हुन्छन्,आमा र बाबु सधैं एकै विचारका हुन्छन्,बाबुहरूको संख्या सत्र हुन्छ,Social Behavior and Relationships
88,अल्लारेको गाई महाअल्लारेको बाछो,बद्मासको जोडी महाबदमास ।,अल्लारे मान्छेको गाईले धेरै दूध दिन्छ,अल्लारेको गाईले सधैं स्वस्थ बाछो जन्माउँछ,अल्लारेको गाई बाछोसँग सधैं खेल्छ,Social Behavior and Relationships
89,अवश्यमेव भोक्तव्यं कुलं कर्म शुभाशुभम्,त्यागले राम्रो फल दिन्छ ।,कर्मले कुललाई नाश गर्छ,कुलले शुभ कर्मलाई नष्ट गर्छ,कुलको दोषले अशुभ कर्म गर्नुपर्छ,Fate and Caution
90,अष्टम वाचन पाए नवमी देखियता,भिन्नता ।,अष्टमीमा वाचन पाउँदा नवमीमा झगडा हुन्छ,अष्टमीमा राम्रो कुरा सुनेर नवमीमा खराब हुन्छ,अष्टमीमा केही पढ्न पाए नवमीमा नजानिँदो हुन्छ,Fate and Caution
91,असारको केटो मङ्सिरको केटी,मिल्दो जोडी ।,असारमा जन्मेका केटाहरू सधैं मङ्सिरमा बिहे गर्छन्,असारमा हुर्केका केटाहरू मङ्सिरमा मात्र काम गर्न सक्छन्,असारमा भएका केटाहरू मङ्सिरमा मात्र केटी खोज्छन्,Social Behavior and Relationships
92,असारको पैंचो असारमै तिरौँला,बहाना पार्नु ।,असारको ऋण कहिल्यै तिर्नु पर्दैन,असारमा लिएको पैंचो सधैं बाँकी रहन्छ,पैंचो तिर्न कुनै मिति तोक्न आवश्यक छैन,Fate and Caution
93,"अहिलेको दसैँ लटपटा चनासित, आउँदो दसैँ मज्जासित",भविष्यप्रतिको आशा ।,अहिलेको दसैँमा चना नखाएर आउँदो दसैँमा धेरै खान पाइन्छ,अहिलेको दसैँमा लटपटा भए पनि आउँदो दसैँमा चनासित मज्जा आउँछ,दसैँको मज्जा चनामा हुन्छ,Fate and Caution
94,अहिले मरे भरे औषधि,कुबेलाको काम ।,अहिले मरेपछि औषधि खानु पर्छ,औषधि खाएपछि तुरुन्तै मर्नेछ,औषधिले मर्नु बचाउन सक्दैन,Fate and Caution
95,अर्काको नास दुष्टको उपहास,दुष्टको चरित्र ।,अरूको नास हुँदा दुष्ट मानिसले खुशी मनाउँछ,दुष्ट मानिसले अरूको उपहास गर्दा आफू नासिन्छ,अरूले उपहास गर्दा दुष्ट मानिस नासिन्छ,Social Behavior and Relationships
96,"अदुवा खाई सभा बस्नु, मुला खाई वन पस्नु",ठाउँ चिनेर काम गर्नु ।,अदुवा खाँदा सभा बस्न नपाइने,मुला खाँदा वन पस्न मन नलाग्ने,अदुवा र मुला खाँदा सभा र वनसँग सम्बन्धित समस्या हुने,Social Behavior and Relationships
97,"अन्धाको देशमा आँखा चिम्लनु, लङ्गडोको देशमा खुट्टा खोच्याउनु",जुन ठाउँको जे चलन छ त्यस्तै गर्नु ।,अन्धाको देशमा आँखा चिम्लनु भनेको सबैले आँखा चिम्लेर हिँड्नुपर्छ,लङ्गडोको देशमा खुट्टा खोच्याउनु भनेको सबैले खुट्टा खोच्याएर हिँड्नुपर्छ,यो उखानले अरूको कमजोरीको फाइदा उठाउनुपर्छ भन्ने सन्देश दिन्छ,Social Behavior and Relationships
